  R.A.         Dec.      Mag     V     SigV
196.80792   -30.58778   17.14   3320    10
196.81792   -37.55056   0.00    14483   18
196.82000   -28.51389   17.33   22266   262
196.82042   -34.71333   16.60   38276   88
196.82500   -34.32472   16.50   26202   73
196.83250   -37.46750   0.00    15153   29
196.83375   -36.12667   14.53   15099   75
196.83833   -30.62167   16.00   14926   73
196.85000   -31.12417   18.41   36270   46
196.85667   -37.54111   0.00    14020   24
196.85792   -30.37278   18.11   22439   88
196.85875   -30.44167   16.20   15617   74
196.87333   -31.45500   16.40   15368   79
196.87500   -30.62194   16.60   15258   94
196.88708   -32.83833   14.24   15419   132
196.89292   -33.16333   15.90   10180   93
196.89917   -28.80028   18.52   31765   37
196.90292   -34.43278   15.97   18872   37
196.90500   -30.23972   17.17   16919   107
196.90625   -35.63861   17.00   4197    0
196.92333   -30.88306   18.66   39162   42
196.92792   -33.55917   16.10   14073   8
196.93583   -37.58667   15.31   15024   60
196.94917   -34.33361   16.10   26249   23
196.95417   -34.55556   16.70   38790   54
196.96500   -30.65500   18.34   14210   45
196.96708   -30.62222   0.00    14256   98
196.96958   -30.37306   15.60   15450   86
196.97125   -29.27806   18.21   31960   87
196.97792   -31.77806   16.00   15906   50
196.98333   -29.61556   18.78   35135   27
196.99333   -28.48778   18.11   31823   30
196.99708   -34.94639   16.40   21645   105
197.00208   -37.37361   15.48   13228   117
197.00708   -29.70167   16.10   9381    108
197.02083   -32.11750   15.45   15372   33
197.02292   -32.14694   16.70   9766    40
197.02583   -33.27528   15.64   10171   150
197.03125   -34.32556   15.69   15174   163
197.04583   -36.20833   15.87   15763   139
197.04625   -28.57361   15.67   32243   105
197.05000   -30.56444   18.58   16928   10
197.05375   -30.16778   15.53   15262   31
197.07792   -31.06778   15.73   4478    62
197.09250   -29.39472   18.70   30982   98
197.11292   -37.61750   16.18   4699    108
197.11500   -34.49972   0.00    41984   37
197.11542   -34.42472   15.19   15067   78
197.14708   -32.14806   15.05   9516    46
197.16167   -34.39778   16.70   37437   27
197.16833   -28.59917   18.44   32380   54
197.17292   -34.57556   0.00    10339   36
197.17333   -34.57528   15.00   10461   7
197.20625   -29.31778   18.16   32544   66
197.23542   -34.44444   0.00    26991   67
197.24292   -34.20611   0.00    40254   38
197.24542   -37.52167   15.90   14312   81
197.24875   -34.36861   0.00    21012   70
197.24917   -34.36889   16.50   20750   72
197.25167   -34.49361   16.60   15339   59
197.25208   -32.12500   14.93   9786    42
197.25250   -34.47056   0.00    26621   50
197.25792   -34.48056   0.00    15403   57
197.26042   -30.77639   17.21   11802   51
197.26167   -29.22583   15.11   4416    37
197.27542   -31.66583   16.70   9374    50
197.27708   -34.67556   16.50   29120   52
197.28250   -30.62972   18.11   9540    10
197.29208   -28.64167   13.51   1429    2
197.29375   -29.20250   16.30   14647   81
197.31458   -28.71333   18.14   32389   51
197.33208   -29.54861   17.60   2886    39
197.33375   -31.89222   14.81   3965    72
197.34042   -30.86528   14.60   13549   95
197.34125   -34.76028   15.21   13201   76
197.34583   -34.50194   15.80   23652   26
197.34792   -34.50194   0.00    23640   13
197.35042   -32.51722   15.90   8823    171
197.35375   -34.23361   16.70   16911   91
197.35458   -29.30139   17.44   14861   97
197.38917   -29.72250   17.34   14948   10
197.39375   -34.68306   15.91   18578   77
197.43208   -35.60917   15.40   28284   52
197.44000   -29.21167   18.00   23714   46
197.44750   -30.87278   18.36   16908   21
197.44833   -32.73583   15.09   21832   130
197.45042   -28.36889   17.78   14304   102
197.45500   -29.34278   18.62   39497   43
197.45917   -29.51694   18.05   14869   36
197.46125   -30.51500   14.69   4568    40
197.46125   -34.14944   17.00   26830   60
197.47875   -34.35222   0.00    41337   41
197.47875   -34.35222   0.00    41005   45
197.47875   -29.41194   18.63   39219   54
197.47917   -30.01667   17.09   16639   77
197.48250   -37.13833   15.96   14350   61
197.48542   -30.66972   17.11   13409   117
197.50083   -30.12556   16.78   14681   129
197.50083   -30.44833   18.69   31188   53
197.52208   -31.90250   15.43   15013   75
197.54417   -31.19056   16.70   14769   92
197.54583   -28.32972   18.39   35627   73
197.56667   -32.87778   14.55   9510    109
197.58250   -28.64611   18.59   39393   95
197.58583   -29.02111   18.62   39458   185
197.59250   -27.97083   0.00    2129    20
197.59250   -34.61278   15.77   27522   60
197.59500   -27.97583   15.24   2220    5
197.60750   -34.80417   16.70   27607   27
197.61000   -34.16333   16.00   22715   37
197.61875   -30.81556   14.91   9646    45
197.62667   -30.63528   18.16   9782    28
197.62708   -34.25361   16.60   27186   64
197.62750   -34.25361   0.00    27186   64
197.65458   -37.30083   14.28   14555   42
197.65583   -29.02000   18.38   32543   62
197.66875   -33.92556   15.10   25552   59
197.67583   -28.83889   18.18   4650    10
197.67667   -31.54444   15.10   9506    57
197.67750   -29.10972   18.29   30853   45
197.67750   -30.84083   18.30   35574   78
197.68500   -29.99278   18.74   38941   31
197.70292   -34.42000   0.00    41316   15
197.70292   -34.42000   0.00    41052   19
197.70375   -33.96639   15.72   15113   95
197.70667   -31.31194   15.53   9349    80
197.70792   -29.96556   16.30   9580    69
197.71000   -28.70694   18.62   36365   50
197.72625   -34.62028   16.90   29709   42
197.72792   -30.39194   18.62   22539   117
197.73667   -29.64222   18.63   3229    16
197.74792   -29.97139   18.76   38504   61
197.74875   -35.57056   16.30   14842   41
197.74875   -34.12306   16.60   36672   44
197.75833   -30.96278   18.02   19827   10
197.76417   -34.00778   15.63   11739   100
197.77125   -33.99889   0.00    12508   150
197.77708   -32.99222   15.87   43801   44
197.78000   -33.08278   14.39   15899   84
197.78667   -28.00806   14.11   2115    2
197.80833   -36.67583   15.11   3363    89
197.81042   -34.09306   15.72   14837   25
197.82125   -33.60000   16.50   10433   76
197.84083   -34.07944   0.00    29172   73
197.84167   -30.34833   17.88   39861   72
197.84500   -28.34861   16.40   14221   130
197.85083   -29.00500   16.40   559 108
197.85292   -32.32250   15.20   14942   34
197.87333   -28.78500   18.52   31992   39
197.87792   -34.00583   15.80   29873   22
197.87833   -34.30417   16.30   26691   18
197.88167   -30.44222   14.18   9563    63
197.89000   -34.48556   16.40   29529   36
197.89708   -29.80417   17.78   30573   79
197.90333   -33.74000   17.00   10161   32
197.90833   -30.32000   16.50   9705    109
197.91042   -31.92972   15.95   15192   54
197.91250   -34.09889   16.90   30033   30
197.91458   -34.36944   16.30   4158    23
197.92917   -30.56250   15.10   9858    61
197.93958   -29.61056   18.30   3529    88
197.95583   -34.30528   15.82   27235   66
197.97333   -30.26778   18.19   24274   47
197.98125   -36.06333   14.24   10491   54
197.99125   -34.17472   16.10   30831   45
197.99667   -30.09639   16.60   14873   103
198.00500   -33.67167   15.30   10689   140
198.00917   -34.54306   0.00    64661   84
198.01542   -31.94944   16.60   4615    55
198.01917   -37.45972   15.59   13069   119
198.02917   -34.59583   14.92   3196    80
198.03583   -28.50111   17.08   6969    51
198.04542   -31.44917   15.90   14443   36
198.05667   -33.99389   16.00   23075   29
198.06625   -27.87833   16.17   9600    11
198.07583   -29.39944   15.70   21146   30
198.07583   -30.76583   17.02   35933   35
198.09333   -35.34333   15.83   23360   77
198.09625   -34.24833   16.10   7804    16
198.10125   -37.34778   15.96   10414   81
198.11042   -34.02639   15.55   13063   141
198.13917   -30.79194   17.75   35947   66
198.14917   -29.46694   16.30   31876   38
198.16708   -28.63861   18.25   18321   138
198.17125   -33.37139   15.75   23141   79
198.17625   -29.73722   16.20   32294   16
198.18208   -34.32500   16.80   37178   90
198.18250   -36.24861   15.04   14386   63
198.19667   -28.42306   18.23   23431   10
198.20583   -33.68306   15.89   10000   48
198.20833   -31.35861   17.49   20899   76
198.21667   -33.01972   16.10   14830   89
198.23250   -30.43139   15.10   9656    53
198.23292   -32.68833   13.29   2382    8
198.23417   -33.95083   16.70   21052   53
198.24667   -30.51611   18.21   32540   62
198.25667   -34.78000   15.60   15159   154
198.26125   -30.43167   18.69   9776    41
198.28250   -29.33444   15.70   22650   90
198.28292   -31.57722   18.75   32331   38
198.29167   -30.69639   17.83   23302   53
198.29792   -29.72639   16.90   22392   88
198.30167   -36.72278   13.68   3251    40
198.31500   -31.01833   18.52   28809   130
198.32208   -28.50639   18.66   38398   82
198.32708   -28.48583   15.74   4306    23
198.32917   -32.94556   15.75   29991   72
198.34500   -36.68778   14.94   3280    36
198.37333   -32.99444   16.10   15724   47
198.37792   -30.62167   18.53   35966   57
198.39167   -29.99389   16.70   12216   93
198.39667   -33.37194   15.99   29645   117
198.39667   -31.80583   17.68   14211   10
198.39667   -31.80583   17.68   14211   10
198.40500   -31.34528   15.24   14813   64
198.41583   -32.84361   15.15   15443   22
198.42958   -35.43361   14.99   7527    96
198.43875   -31.70556   16.70   14683   45
198.44250   -31.91500   16.20   15471   58
198.45708   -31.95500   18.12   15585   36
198.46333   -36.54417   14.52   14367   76
198.47500   -34.80889   15.55   7948    108
198.47792   -30.64500   14.76   4634    75
198.48542   -32.10333   18.02   34670   73
198.48750   -31.54278   17.80   15699   38
198.48833   -29.53806   16.90   39657   39
198.48958   -33.91806   14.21   15299   49
198.50000   -29.71611   0.00    53621   47
198.50250   -30.13556   16.00   7040    39
198.51792   -33.88889   15.00   14867   7
198.52292   -29.02111   15.80   3652    52
198.52417   -29.25500   16.10   23049   47
198.52583   -29.42472   15.90   22479   41
198.52792   -33.84778   0.00    14909   235
198.52833   -33.88556   0.00    14832   6
198.53667   -34.09778   0.00    17000   150
198.53750   -33.81111   16.40   15557   7
198.53958   -31.59389   17.69   31555   42
198.54250   -34.09500   14.63   15355   81
198.55417   -37.22444   15.21   10229   83
198.58417   -37.19583   14.26   10688   59
198.59792   -30.65972   18.78   11998   10
198.60333   -28.70889   18.21   23693   153
198.62417   -33.38417   14.46   8889    69
198.62750   -29.06750   16.30   23465   34
198.62875   -29.45222   15.50   30196   23
198.63167   -33.68083   0.00    17900   150
198.63833   -33.67306   15.34   17900   100
198.65375   -36.47167   0.00    31928   120
198.65458   -36.46417   0.00    31927   120
198.66875   -30.69889   18.76   36147   101
198.67333   -35.18833   15.50   15054   110
198.67417   -33.36056   15.58   14649   115
198.67750   -36.70500   16.40   16880   79
198.68042   -30.83917   17.49   14728   101
198.68833   -29.34417   16.70   22573   42
198.68958   -30.53111   16.60   13842   55
198.69125   -37.17528   15.50   10574   62
198.69958   -30.40306   18.78   30509   109
198.71375   -28.88167   18.62   39765   51
198.72000   -32.75750   15.99   30594   115
198.73042   -31.87694   17.50   31467   71
198.73625   -32.66389   15.15   14603   70
198.74375   -32.75583   15.61   31197   68
198.74500   -30.27250   18.19   21479   40
198.75542   -30.29806   16.30   21360   162
198.75917   -29.76556   15.55   14638   53
198.75917   -35.93278   15.80   10534   43
198.75917   -34.59556   16.20   14590   42
198.76167   -36.88000   16.10   14723   40
198.77167   -32.25000   15.10   14433   72
198.77750   -32.88556   15.73   14315   76
198.77833   -37.14278   14.23   10918   15
198.78458   -30.42389   18.30   38954   34
198.78500   -33.50389   16.10   14015   66
198.78500   -30.95056   18.27   29750   53
198.78500   -30.95056   18.27   29750   53
198.79542   -34.90694   16.40   8145    108
198.79875   -33.63889   14.20   14531   79
198.80917   -32.25389   14.64   2332    8
198.81958   -31.34833   16.40   2265    76
198.82625   -30.56417   18.04   38888   41
198.84042   -34.93417   14.50   7939    4
198.84292   -34.79417   0.00    1679    300
198.86208   -31.27778   17.82   31812   25
198.86333   -32.71056   14.15   13869   96
198.86375   -32.72000   15.95   14202   81
198.87125   -37.18889   15.66   10048   85
198.87625   -29.85111   16.10   9962    36
198.87750   -28.28444   14.40   4310    96
198.88083   -29.03278   15.90   23282   32
198.88708   -30.33889   18.21   25858   50
198.89125   -31.33694   18.42   31195   159
198.89667   -32.21611   16.50   14997   52
198.90125   -31.75722   16.80   15753   54
198.90292   -29.50500   14.82   16187   46
198.92000   -31.48861   18.69   32782   39
198.92667   -32.70306   15.42   14561   90
198.92667   -31.42306   18.44   38262   31
198.93917   -29.54556   16.60   38499   23
198.96458   -28.74556   18.04   30333   177
198.97208   -29.85111   16.50   9650    81
198.97917   -31.71417   17.10   4612    18
198.98500   -28.48528   15.85   14025   82
198.99458   -37.31556   16.30   11572   108
199.00000   -30.17750   17.78   16101   10
199.01292   -36.98222   15.90   31971   88
199.01542   -37.34722   14.60   10791   10
199.01875   -31.85250   18.76   38378   39
199.02292   -37.33306   15.20   11144   98
199.03500   -28.41056   13.72   4365    15
199.04042   -29.19167   16.50   4310    7
199.04125   -32.88694   14.71   15284   88
199.04667   -31.19056   15.08   11997   78
199.04708   -28.66111   16.30   4371    90
199.05583   -30.80500   18.11   25746   61
199.06000   -31.38722   15.71   40199   89
199.06583   -29.35278   15.00   4101    109
199.07125   -30.72222   18.55   36348   74
199.07417   -29.44500   15.40   3861    26
199.08000   -31.94250   17.20   15599   43
199.08208   -34.80944   16.40   8015    47
199.08292   -31.58417   18.07   39184   36
199.08375   -28.28556   13.99   4437    10
199.09792   -35.27028   15.81   11473   98
199.10375   -31.85222   17.00   15336   64
199.10625   -32.86250   15.92   14428   86
199.11583   -32.21583   15.63   10900   52
199.12792   -37.47500   15.45   14637   23
199.13333   -31.20417   18.00   14637   63
199.15667   -30.92389   17.75   30339   72
199.16375   -32.25306   15.99   14649   127
199.17083   -30.58222   17.76   15297   42
199.17792   -33.26278   15.08   14315   98
199.18917   -27.88556   14.97   1642    2
199.20458   -35.79333   15.80   32384   102
199.25167   -33.46917   15.90   10804   115
199.26542   -31.58917   15.12   14528   33
199.26833   -30.10444   18.14   30360   67
199.27125   -32.82139   15.90   14940   62
199.31208   -30.74056   17.35   21536   25
199.32333   -31.81528   15.97   14998   126
199.32708   -37.27306   16.00   15579   45
199.33375   -37.21278   15.90   10932   84
199.33375   -31.39667   17.70   23355   67
199.33917   -34.35750   16.50   8752    45
199.34500   -30.39944   18.10   29991   50
199.34917   -33.44917   14.26   15334   48
199.35167   -28.51083   18.10   15750   72
199.35917   -33.92667   14.86   15224   73
199.38125   -31.60750   15.83   15632   176
199.38167   -33.72306   16.30   15037   11
199.41458   -33.69222   15.20   3341    62
199.41750   -37.28139   14.50   1873    6
199.42542   -34.35361   15.50   8489    10
199.42792   -32.10167   12.16   2310    2
199.43125   -32.96750   16.90   10720   85
199.43167   -32.96778   0.00    15187   52
199.45250   -33.22556   15.93   25689   64
199.47875   -30.08778   15.50   9921    71
199.49667   -37.43111   14.68   7330    66
199.49792   -31.37417   15.90   11881   40
199.50333   -28.60472   17.69   37396   39
199.50708   -36.95028   13.53   3175    40
199.51875   -30.15500   15.34   9769    73
199.52708   -35.80833   14.98   3265    94
199.53625   -32.02944   14.64   4358    114
199.53625   -32.02944   14.64   4358    114
199.53625   -32.01833   14.64   4358    114
199.53625   -32.01833   16.00   4386    15
199.53625   -32.01833   16.00   4386    15
199.53667   -36.98361   15.30   14921   28
199.54042   -29.52944   16.70   26097   125
199.54375   -34.54861   16.50   7388    75
199.56875   -31.77222   16.90   14162   52
199.58208   -32.95472   16.60   10396   44
199.58292   -37.31139   15.06   15014   63
199.59375   -31.98333   16.70   14195   47
199.59833   -35.45861   12.20   3308    32
199.60667   -34.18917   16.00   8432    36
199.60708   -35.35250   13.25   3161    46
199.61125   -33.30083   14.33   4342    51
199.62167   -32.22944   14.22   4579    25
199.62375   -31.63083   13.60   3653    10
199.63167   -33.77028   16.70   31882   15
199.63250   -32.08806   16.40   14973   39
199.63958   -32.57694   16.50   14721   73
199.64500   -33.25583   15.70   15052   34
199.64958   -32.53333   15.70   7557    84
199.65167   -28.46194   18.04   37569   90
199.65250   -33.89583   16.60   36459   17
199.66333   -32.40556   0.00    40045   30
199.69250   -31.78028   18.00   15330   46
199.70583   -31.86111   17.20   15654   35
199.71417   -34.60972   15.31   8264    63
199.72250   -33.97611   15.90   27257   13
199.72875   -33.42528   15.55   13407   47
199.72958   -34.61306   16.08   7809    58
199.73042   -31.81750   14.20   15641   103
199.74167   -29.00417   16.31   14211   80
199.74333   -29.01083   15.20   13949   50
199.75125   -31.83917   18.30   15874   37
199.75208   -27.62861   13.44   2323    10
199.75458   -31.86000   18.10   15466   53
199.75875   -32.10722   16.60   17981   47
199.76250   -32.18694   15.70   4558    52
199.76542   -33.11167   16.90   14503   32
199.76583   -31.83278   17.90   16073   69
199.77333   -32.17917   0.00    4800    60
199.77500   -37.06778   15.90   15156   97
199.78250   -31.66972   17.10   13968   100
199.78292   -37.23472   14.91   14311   86
199.79625   -37.18139   0.00    15644   20
199.81208   -33.54694   16.50   15109   49
199.81250   -37.17972   16.00   14446   32
199.81500   -37.21944   0.00    15203   55
199.81917   -30.52056   16.10   21489   48
199.83167   -37.19861   0.00    15236   26
199.83208   -33.46889   14.50   14564   12
199.83250   -33.30861   15.99   15047   69
199.83375   -34.53833   15.60   8192    91
199.84708   -33.27750   15.48   1587    100
199.85708   -32.06167   16.90   16164   32
199.85750   -32.82583   16.90   13982   29
199.86375   -33.35444   15.94   14960   70
199.86417   -33.92556   16.10   8565    67
199.86750   -33.02694   14.80   8761    37
199.87042   -35.10222   14.48   1247    28
199.87208   -33.51750   14.33   14981   98
199.87458   -33.91556   15.17   8432    37
199.87625   -30.43722   17.65   27762   37
199.88167   -37.34556   16.99   15478   73
199.88208   -33.48806   15.06   14254   54
199.89292   -30.48611   18.40   29264   98
199.90167   -33.37889   0.00    4800    60
199.90417   -29.12583   0.00    13790   108
199.91083   -33.38167   16.00   8730    20
199.91167   -28.74000   16.70   13890   50
199.91667   -36.97194   15.76   11687   66
199.92042   -30.95694   18.24   17968   40
199.94500   -31.44583   18.30   27600   57
199.94792   -33.36833   15.70   8622    35
199.94958   -33.22361   16.80   15349   64
199.95625   -30.35056   18.32   34194   79
199.96042   -33.40333   0.00    8388    49
199.97542   -30.64528   16.60   14104   75
199.97708   -37.05917   16.40   10913   45
199.98292   -33.67139   0.00    41472   22
199.98792   -34.29639   15.43   23525   110
200.01042   -33.48583   17.00   14395   81
200.02667   -32.32917   16.30   4552    108
200.03167   -37.19028   14.53   2074    52
200.05625   -35.10472   15.64   13924   121
200.05833   -36.06194   0.00    1455    15
200.05833   -30.03583   16.00   1619    108
200.06000   -36.04333   13.99   1452    7
200.06958   -31.64083   17.60   13662   52
200.08125   -37.09333   15.16   2359    47
200.08667   -28.89389   0.00    15846   56
200.09208   -28.89000   0.00    15490   18
200.09667   -33.44750   16.80   14095   32
200.11458   -34.32889   15.70   15106   145
200.11500   -30.90861   15.37   8886    10
200.12292   -30.89639   14.33   9304    10
200.13375   -30.58194   17.19   23387   71
200.14000   -30.53694   18.48   35016   29
200.14583   -33.36028   16.10   21435   108
200.15042   -33.88556   15.30   14159   73
200.15208   -34.13250   15.72   23532   69
200.16750   -30.76222   17.56   33082   42
200.17708   -34.93250   15.73   15393   86
200.17708   -33.08750   16.70   36484   16
200.18583   -30.34556   18.00   4456    73
200.18833   -30.34083   16.71   4591    84
200.19750   -27.61556   15.73   8209    37
200.20167   -33.20194   14.70   14187   18
200.20875   -34.01917   16.40   14493   66
200.20917   -29.47972   14.09   4268    25
200.21583   -35.95389   15.50   7814    105
200.22000   -28.21833   15.97   15326   122
200.22333   -30.20667   17.85   39614   50
200.22375   -31.72833   0.00    16068   120
200.22667   -34.82833   0.00    7819    36
200.22667   -34.83861   15.67   7819    36
200.22750   -31.74250   16.87   16249   0
200.22792   -27.81028   22.33   1515    0
200.22958   -31.74083   0.00    16069   120
200.23125   -31.73306   16.00   15829   72
200.23500   -33.80694   16.60   35215   19
200.23542   -37.27139   15.90   15980   78
200.25875   -33.49083   14.90   14184   14
200.26375   -32.65278   0.00    47108   38
200.26500   -35.86306   15.85   15927   51
200.26708   -33.05000   15.23   15768   64
200.27542   -35.59972   15.47   15654   85
200.27917   -35.78444   16.10   14919   65
200.28083   -33.59472   16.50   14447   41
200.28417   -31.52917   17.10   570 0
200.28458   -30.57972   18.48   33156   37
200.28708   -35.09917   16.00   15073   98
200.28792   -30.65750   16.00   4368    110
200.29500   -34.66000   0.00    43873   98
200.30333   -29.89111   17.29   14556   35
200.30667   -35.52222   15.94   7796    10
200.31875   -35.19278   15.19   20402   58
200.31958   -33.20028   16.80   21267   45
200.33958   -35.81306   15.42   15373   163
200.34500   -35.79500   15.10   14193   64
200.35125   -30.39583   18.24   35484   48
200.35292   -32.77583   14.59   14469   110
200.36042   -30.70778   16.70   25794   66
200.36917   -32.78306   0.00    14450   120
200.37167   -36.16778   15.02   15345   94
200.37375   -29.02333   16.50   14037   49
200.37417   -29.02000   16.50   13913   70
200.38375   -35.79472   0.00    15156   78
200.39625   -30.86028   18.46   14492   27
200.39708   -31.40444   17.70   14500   39
200.40167   -30.18056   18.25   13854   54
200.41042   -28.14278   16.60   13948   70
200.41708   -34.43278   0.00    41413   52
200.41833   -34.93778   15.19   15222   196
200.42417   -33.40611   16.70   14355   45
200.43000   -29.65167   17.71   23289   81
200.43292   -33.55056   15.50   14329   37
200.43750   -31.05028   16.40   15071   65
200.45042   -35.53833   14.53   13903   170
200.46125   -33.87500   15.83   35049   132
200.46917   -31.76500   16.30   14705   56
200.47167   -30.04000   18.43   17154   20
200.48167   -30.65083   18.31   33141   35
200.48208   -34.61028   15.60   16055   157
200.48333   -27.64194   15.70   14407   50
200.49000   -36.63028   10.35   467 7
200.49083   -35.75472   15.62   16535   91
200.49208   -31.06972   0.00    13430   51
200.49250   -31.07389   17.00   13431   51
200.50500   -28.37111   14.58   14030   85
200.50708   -29.94833   17.84   34945   37
200.50958   -30.10472   17.36   14800   76
200.51167   -31.62000   16.80   15217   42
200.51625   -29.58667   17.00   9877    32
200.52625   -31.73167   0.00    -75 15
200.52792   -31.77111   16.00   14229   26
200.53333   -37.38583   14.49   3605    77
200.53458   -30.70972   15.30   4095    10
200.54500   -34.79778   15.54   15664   126
200.56500   -29.55722   15.50   9918    104
200.56833   -34.62000   15.59   15667   127
200.57042   -34.48667   16.80   15650   32
200.57458   -30.15444   17.57   2489    10
200.57583   -36.53278   16.67   11382   95
200.57875   -31.86611   0.00    14674   53
200.57875   -31.80806   18.00   14037   50
200.59292   -30.22222   18.10   33261   58
200.59833   -31.07444   0.00    4512    38
200.60250   -32.98083   18.10   39984   34
200.61542   -34.65389   15.70   8176    74
200.61667   -33.48417   15.88   3497    96
200.63708   -31.54611   18.52   14147   180
200.63750   -31.93417   17.20   14057   20
200.64000   -29.30750   18.17   23032   90
200.64542   -31.93472   0.00    14201   63
200.65792   -30.42028   17.77   25741   32
200.66000   -35.87000   15.50   14747   142
200.66292   -31.80056   18.87   -55 41
200.66917   -31.64306   17.28   27093   27
200.67083   -31.67639   16.77   14954   21
200.67583   -31.84583   0.00    14609   51
200.67958   -33.43528   14.26   14379   44
200.68458   -28.95306   15.10   987 15
200.68542   -28.74500   16.40   31372   26
200.68667   -29.63611   18.22   38377   83
200.69417   -31.73417   19.00   14381   124
200.69583   -33.44833   0.00    17450   100
200.69667   -33.38583   16.40   11974   40
200.70208   -31.94639   0.00    14475   36
200.70542   -33.44028   15.32   14654   74
200.70667   -30.11444   18.14   4286    13
200.70750   -32.43583   15.60   13731   97
200.70958   -32.53611   16.70   14587   75
200.71083   -27.65583   16.10   13943   54
200.71958   -29.29417   0.00    14090   120
200.72000   -31.49972   18.30   27196   35
200.72333   -29.57889   16.30   25053   108
200.72458   -32.67056   14.72   8921    47
200.72708   -31.79389   17.58   13932   24
200.72833   -35.04861   14.97   7237    96
200.73167   -31.73833   14.97   14414   21
200.73667   -32.72833   14.43   8766    40
200.73667   -31.62278   16.42   14799   21
200.73750   -29.73944   16.70   648 90
200.73792   -31.54861   18.01   27195   33
200.74250   -34.98333   16.10   19317   74
200.74250   -34.98333   16.10   19317   74
200.74250   -32.58417   17.60   14635   32
200.74250   -32.58417   17.60   14635   32
200.74458   -32.71306   14.78   8503    67
200.74583   -29.89417   0.00    10192   120
200.74958   -31.64639   17.52   14568   24
200.75042   -37.03917   17.30   14615   18
200.75250   -29.30917   17.77   14389   110
200.75458   -34.96611   16.50   8064    108
200.75667   -35.77417   15.00   7769    73
200.75875   -31.67333   0.00    132 24
200.76000   -34.87972   15.30   7814    72
200.76292   -34.98528   15.00   16498   84
200.76458   -31.72917   18.35   14467   39
200.76667   -29.12833   16.30   23152   24
200.76750   -34.91111   16.30   7325    65
200.76958   -31.52889   18.82   27265   180
200.77042   -29.91222   15.94   10187   69
200.77167   -31.63944   0.00    14426   17
200.77292   -33.36528   15.30   14702   45
200.77542   -31.73472   0.00    15259   32
200.77625   -32.24472   14.50   3740    27
200.78042   -31.61750   0.00    13640   17
200.78958   -34.87083   15.08   7699    31
200.79458   -31.83667   18.89   14019   59
200.79958   -31.44417   0.00    9023    120
200.80167   -30.39694   16.20   14660   108
200.80625   -32.69306   17.80   8688    32
200.80625   -31.90056   18.48   13976   84
200.80917   -35.32667   15.76   14710   59
200.81208   -37.12333   17.40   18592   0
200.81292   -31.46000   15.56   9068    62
200.82167   -31.77833   16.76   13820   14
200.82833   -32.34222   14.95   8615    40
200.83250   -31.40500   19.08   16480   7
200.83375   -36.74083   17.50   38031   47
200.83750   -29.70750   17.77   25798   61
200.85042   -31.51444   16.20   11098   65
200.85750   -36.90222   0.00    43213   32
200.87042   -31.71167   17.97   13952   14
200.87125   -31.84444   16.10   14306   14
200.87583   -31.69611   0.00    14036   20
200.87750   -30.11444   15.54   4265    4
200.87792   -31.82639   17.60   14993   17
200.88292   -31.47000   17.09   13427   21
200.88292   -31.85528   17.90   15115   18
200.88375   -31.82250   17.49   14306   46
200.89167   -34.42417   14.90   14998   42
200.89375   -31.78889   18.30   14001   51
200.89500   -34.51278   0.00    25864   300
200.89792   -31.86667   18.72   14900   64
200.90458   -31.84667   0.00    14318   29
200.91250   -37.10889   15.00   5008    80
200.91958   -30.01444   18.62   9396    16
200.92042   -31.69917   19.02   16443   74
200.92083   -29.55667   18.68   22351   15
200.92875   -30.05667   15.20   3999    41
200.92958   -34.46000   15.45   15426   126
200.93083   -35.89528   14.80   3792    78
200.93250   -31.78389   17.67   14325   135
200.93333   -31.68194   0.00    14812   26
200.93542   -31.90250   18.06   13984   44
200.93542   -31.50889   18.97   12864   122
200.93625   -27.99167   14.54   13674   69
200.93833   -31.70750   15.92   15170   63
200.93875   -27.66028   15.00   2337    45
200.95042   -31.83167   18.86   15074   51
200.95167   -31.84417   17.91   14467   15
200.95583   -31.71611   18.04   12922   63
200.95875   -30.55667   16.30   9183    99
200.95875   -31.58889   18.91   13986   53
200.95917   -34.99361   16.30   31218   59
200.96500   -29.36139   16.90   22990   47
200.96708   -31.64500   18.78   15066   27
200.97125   -31.66111   18.09   15256   18
200.97250   -31.82278   18.40   14278   38
200.97333   -29.96528   16.10   13831   111
200.97542   -34.66056   14.49   14472   103
200.97625   -32.18222   14.91   15249   107
200.98083   -29.30611   15.63   14096   98
200.98750   -37.22944   17.40   34496   14
200.98875   -31.63833   17.74   14875   18
200.98875   -31.65722   18.29   15013   23
200.99000   -31.64639   15.72   15054   14
200.99083   -28.70528   16.90   34412   36
200.99667   -35.15056   16.20   16298   52
200.99958   -31.47250   16.66   15190   53
201.00708   -32.34389   13.45   3581    20
201.01125   -28.56833   15.60   15558   45
201.01292   -31.82917   18.47   13755   55
201.01708   -30.37750   0.00    26754   24
201.02042   -29.07111   16.60   35037   31
201.02042   -31.79667   18.74   15125   64
201.02125   -31.68194   17.53   15407   75
201.02417   -31.54556   18.16   13238   39
201.02583   -31.71861   18.02   15206   17
201.02750   -31.67000   14.27   14397   14
201.02750   -31.68722   18.25   14952   95
201.02833   -31.74694   17.95   13558   103
201.03625   -31.73306   17.00   15510   41
201.04667   -31.51611   18.63   13387   78
201.05125   -31.68833   18.10   14060   17
201.05292   -31.78306   17.92   14333   24
201.05833   -34.61278   16.30   14889   75
201.05958   -30.25639   0.00    4045    33
